review,label
"کیفیت غذا عالی بود و خیلی سریع رسید.","مثبت"
"سفارش با تاخیر زیاد رسید و کاملا سرد شده بود.","منفی"
"پیک محترم بود ولی بسته بندی می‌توانست بهتر باشد.","خنثی"
"همه چیز عالی بود، دوباره از همین رستوران سفارش می‌دهم.","مثبت"
"طعم غذا خوب نبود و اصلا راضی نبودم.","منفی"
"تحویل به موقع انجام شد اما قیمت‌ها کمی بالاست.","خنثی"
"بسته بندی بسیار شیک و تمیز بود.","مثبت"
"سفارش من اشتباه آماده شده بود.","منفی"
"ارسال سریع و کیفیت مطلوب، ممنون.","مثبت"
"غذا خیلی شور و چرب بود.","منفی"
"زمان تحویل از چیزی که نوشته بود کمتر شد، عالی بود.","مثبت"
"پشتیبانی به سوالات من پاسخ نداد.","منفی"
"نه خیلی خوب بود نه خیلی بد، متوسط بود.","خنثی"
"پیک مودب و خوش برخورد بود.","مثبت"
"سفارش من لغو شد و پول دیر برگشت داده شد.","منفی"
"غذا گرم و تازه به دستم رسید.","مثبت"
"سهم غذا نسبت به قیمت کم بود.","منفی"
"محیط برنامه کاربرپسند است ولی می‌تواند بهتر شود.","خنثی"
"پیشنهاد می‌کنم حتما امتحان کنید، خیلی راضی بودم.","مثبت"
"برای بار دوم است که سفارش من دیر می‌رسد.","منفی"

